,id,val_index,size,valuation,algo,distortion
57,58,20,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
58,59,20,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
59,60,20,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
60,61,21,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
61,62,21,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
62,63,21,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.1670076782684409
63,64,22,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
64,65,22,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
65,66,22,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
66,67,23,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
67,68,23,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
68,69,23,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
69,70,24,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
70,71,24,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
71,72,24,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
72,73,25,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0123495852368856
73,74,25,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
74,75,25,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0123495852368856
75,76,26,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.017679359195062
76,77,26,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
77,78,26,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.017679359195062
78,79,27,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
79,80,27,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
80,81,27,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
81,82,28,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0217718337108808
82,83,28,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
83,84,28,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.021771833710881
84,85,29,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
85,86,29,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
86,87,29,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
87,88,30,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
88,89,30,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
89,90,30,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
90,91,31,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
91,92,31,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
92,93,31,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
93,94,32,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
94,95,32,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
95,96,32,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.2791779895020248
96,97,33,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
97,98,33,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
98,99,33,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.055066546699969
99,100,34,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.1107922776237427
100,101,34,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
101,102,34,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.1107922776237427
102,103,35,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0498115545043811
103,104,35,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
104,105,35,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
105,106,36,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
106,107,36,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
107,108,36,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
108,109,37,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
109,110,37,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
110,111,37,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
111,112,38,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
112,113,38,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
113,114,38,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
114,115,39,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
115,116,39,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
116,117,39,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
117,118,40,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
118,119,40,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
119,120,40,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
120,121,41,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0392241455469733
121,122,41,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
122,123,41,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
123,124,42,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0086450302831311
124,125,42,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0024552047962816
125,126,42,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0086450302831313
126,127,43,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
127,128,43,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
128,129,43,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
129,130,44,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
130,131,44,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
131,132,44,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
132,133,45,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
133,134,45,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
134,135,45,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
135,136,46,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
136,137,46,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
137,138,46,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0659884606949055
138,139,47,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
139,140,47,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
140,141,47,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
141,142,48,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
142,143,48,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
143,144,48,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
144,145,49,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
145,146,49,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
146,147,49,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
147,148,50,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
148,149,50,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
149,150,50,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
150,151,51,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
151,152,51,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
152,153,51,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
153,154,52,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
154,155,52,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
155,156,52,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
156,157,53,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
157,158,53,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
158,159,53,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
159,160,54,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
160,161,54,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
161,162,54,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
162,163,55,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
163,164,55,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
164,165,55,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0000000000000002
165,166,56,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
166,167,56,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
167,168,56,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
168,169,57,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
169,170,57,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
170,171,57,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.010444058922501
171,172,58,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
172,173,58,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
173,174,58,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
174,175,59,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
175,176,59,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
176,177,59,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
177,178,60,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
178,179,60,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
179,180,60,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
180,181,61,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
181,182,61,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
182,183,61,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,0.9999999999999999
183,184,62,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
184,185,62,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
185,186,62,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0240743162558457
186,187,63,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
187,188,63,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
188,189,63,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0232528915657262
189,190,64,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
190,191,64,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
191,192,64,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
192,193,65,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
193,194,65,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
194,195,65,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
195,196,66,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
196,197,66,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
197,198,66,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
198,199,67,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
199,200,67,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
200,201,67,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
201,202,68,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
202,203,68,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
203,204,68,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
204,205,69,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,0.9999999999999999
205,206,69,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,0.9999999999999999
206,207,69,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
207,208,70,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
208,209,70,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
209,210,70,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
210,211,71,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.071856753935188
211,212,71,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
212,213,71,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
213,214,72,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0
214,215,72,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0
215,216,72,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
216,217,73,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal1,1.0000000000000002
217,218,73,5.0,theta0.2unitsum,epsilon_max_matching max_cardinality_rank_maximal0.1,1.0000000000000002
218,219,73,,theta0.2unitsum,twothirds_max_matching max_cardinality_rank_maximal,1.0
